covariate,treated_mean,control_mean,smd,abs_smd,sample
prior_sessions,3.7248868778280544,2.610026385224274,0.6601784592774276,0.6601784592774276,before_matching
high_intent,0.665158371040724,0.3759894459102902,0.6045995532751715,0.6045995532751715,before_matching
prior_customer_value,133.3450865158371,117.68155712401055,0.5702968477571606,0.5702968477571606,before_matching
returning_customer,0.6538461538461539,0.4720316622691293,0.37279406615188687,0.37279406615188687,before_matching
mobile_session,0.5027149321266968,0.5443271767810026,-0.0833741666965278,0.0833741666965278,before_matching
mobile_session,0.5018148820326679,0.47958257713248637,0.04447321141529659,0.04447321141529659,after_matching
returning_customer,0.6529038112522686,0.6411070780399274,0.024680748181392948,0.024680748181392948,after_matching
prior_customer_value,133.15395235934665,132.64751138838474,0.018458539160879806,0.018458539160879806,after_matching
prior_sessions,3.710526315789474,3.720961887477314,-0.005810320452618395,0.005810320452618395,after_matching
high_intent,0.6642468239564429,0.6660617059891107,-0.0038447409344546904,0.0038447409344546904,after_matching
