pair_id,treated_index,control_index,treated_score,control_score,score_distance,treated_outcome,control_outcome,difference
1,1,5133,0.42385110157183353,0.4238024110763214,4.869049551214921e-05,50.4342,43.3079,7.1263000000000005
2,3,2549,0.3452824841643536,0.34523469168904586,4.7792475307728566e-05,46.8762,39.5315,7.344699999999996
3,11,807,0.3223208392878926,0.32232882920969785,7.989921805229283e-06,44.1716,37.8002,6.371400000000001
4,12,552,0.6098450468143323,0.6098350672752281,9.97953910419902e-06,53.5533,49.1027,4.450600000000001
5,13,2943,0.2905824134319971,0.29071814502452825,0.00013573159253116307,44.3762,35.6837,8.692499999999995
6,14,2774,0.13218358798903665,0.132213661154536,3.0073165499355792e-05,31.6481,26.9814,4.666699999999999
7,15,4112,0.23049099402453857,0.23056753887135087,7.654484681229867e-05,43.743,30.8728,12.8702
8,21,4811,0.33373674440914153,0.33366785688217326,6.888752696826428e-05,43.8082,37.2929,6.515299999999996
9,22,2818,0.26715625390628356,0.2672564396720707,0.00010018576578713079,43.7758,32.6052,11.170599999999993
10,24,4458,0.8347886924426523,0.835419817473025,0.000631125030372659,65.9125,56.874,9.038499999999992
11,26,782,0.40537547144631064,0.4053849884356029,9.516989292246425e-06,46.6567,39.0509,7.605800000000002
12,31,1208,0.2543181194490126,0.25429055644278903,2.756300622358543e-05,39.195,37.6462,1.5488
13,35,1165,0.513484691036799,0.5136106269456657,0.00012593590886678108,52.9223,45.6405,7.281799999999997
14,40,4634,0.7799751782458126,0.7801632053271522,0.00018802708133958124,61.4026,55.581,5.8215999999999966
15,43,5678,0.7187288991516315,0.7191138786118848,0.00038497946025328744,60.4831,52.3239,8.159199999999998
16,44,1366,0.7682026069925201,0.770941965518779,0.0027393585262589504,58.9274,50.6419,8.285499999999999
17,46,3827,0.8007109166212877,0.8028178139423056,0.0021068973210178754,63.8778,55.1128,8.765
18,48,1214,0.2438915203248819,0.24387235084614978,1.9169478732122824e-05,42.8579,36.043,6.8149000000000015
19,50,2546,0.3169524430326883,0.3169492957990088,3.1472336795013156e-06,45.5752,37.4825,8.0927
20,52,4761,0.14766366594749825,0.14770561176057626,4.1945813078009264e-05,37.1507,28.7454,8.4053
21,54,3189,0.43155026885226,0.4316403182977542,9.004944549417804e-05,46.0335,41.6929,4.340599999999995
22,59,4304,0.30949419967960395,0.3094429870148954,5.121266470853314e-05,44.1947,37.277,6.917699999999996
23,61,3827,0.8016584539326919,0.8028178139423056,0.001159360009613697,61.9296,55.1128,6.816800000000001
24,64,3253,0.5189686523975632,0.5190536522293159,8.499983175269676e-05,54.6153,46.8686,7.746699999999997
25,69,468,0.4876552334115473,0.48766073380867797,5.500397130653312e-06,51.9477,39.8798,12.067899999999995
26,72,3168,0.5057302516865183,0.5057181556625853,1.2096023933039213e-05,49.8915,39.9187,9.9728
27,73,4376,0.36855185832315684,0.36836475784170714,0.00018710048144970903,46.0277,38.078,7.9497
28,75,1382,0.6315433612745789,0.6315022299751791,4.1131299399754795e-05,56.4469,48.6168,7.830100000000002
29,78,3667,0.7548161389899124,0.7546199099698503,0.00019622902006211085,62.1066,52.3408,9.765799999999999
30,79,3425,0.211746197921205,0.21173502414623452,1.1173774970479888e-05,40.3257,29.475,10.850699999999996
31,86,4855,0.7250036728232131,0.7241861388445896,0.000817533978623497,59.638,54.464,5.1739999999999995
32,88,177,0.763779787572564,0.7637122275135486,6.756005901542572e-05,59.7845,54.2565,5.527999999999999
33,95,4375,0.3305209373351305,0.3305628194873936,4.1882152263084116e-05,45.8753,38.4865,7.388800000000003
34,100,5930,0.5209295925482724,0.5215610159106895,0.0006314233624170607,53.6173,42.8934,10.7239
35,101,3711,0.1854755773826541,0.18540852444597053,6.705293668357593e-05,39.8537,28.4415,11.412200000000002
36,105,4670,0.24989598575781866,0.24989988520061554,3.899442796884145e-06,43.0278,33.1102,9.9176
37,106,1147,0.23216170085171847,0.23224727190513048,8.557105341200355e-05,42.5761,32.2351,10.340999999999994
38,111,2766,0.5447738317115447,0.545109417449341,0.00033558573779635115,54.214,45.8424,8.3716
39,122,85,0.31019870280061823,0.3104657811799361,0.0002670783793178866,45.4913,37.5152,7.976100000000002
40,124,5818,0.3414334608567816,0.3414581803276675,2.4719470885892214e-05,47.4702,36.4741,10.996099999999998
41,127,5793,0.17479837025633732,0.1748228446954167,2.4474439079380517e-05,37.3643,30.1255,7.238800000000001
42,130,3665,0.671597997902333,0.6718684830429004,0.00027048514056737805,56.2463,50.3584,5.887899999999995
43,135,4433,0.3350201509540312,0.3350582101320815,3.805917805027592e-05,42.2861,37.3953,4.890799999999999
44,136,5713,0.5096291196751632,0.5094045394933924,0.00022458018177085037,52.0737,44.4265,7.647200000000005
45,140,5563,0.25747991298307876,0.25750564436271517,2.5731379636406704e-05,41.5515,35.8144,5.737099999999998
46,143,2160,0.846196963169386,0.8551091769873044,0.008912213817918402,65.9326,58.3633,7.569299999999991
47,147,4733,0.3540322701674977,0.3541545348684039,0.000122264700906205,47.582,40.1946,7.3873999999999995
48,148,4239,0.14867801382281423,0.1487064187882432,2.8404965428968643e-05,37.3105,29.2599,8.0506
49,149,2946,0.6255857810840497,0.6251929249188268,0.0003928561652228879,56.4912,47.7121,8.7791
50,150,177,0.7637094414373456,0.7637122275135486,2.7860762029652264e-06,61.1139,54.2565,6.857399999999998
51,152,1405,0.42427959282060673,0.4242502781183612,2.9314702245542e-05,44.5183,39.1924,5.325900000000004
52,153,1702,0.9222983089558103,0.9163962342131008,0.00590207474270954,68.6305,61.8424,6.7881
53,156,4464,0.6924424317447526,0.6928972539161355,0.00045482217138292924,58.3931,46.2291,12.163999999999994
54,158,4912,0.20386436900934632,0.20388953173184773,2.5162722501415047e-05,38.1547,30.7256,7.429099999999998
55,159,2764,0.6816055619658955,0.6812211556836176,0.00038440628227787155,56.4482,48.2102,8.238
56,160,4706,0.6680345309226262,0.6687852082768373,0.0007506773542110823,57.4618,48.1607,9.301099999999998
57,162,3612,0.5297654998984173,0.5296732136144112,9.228628400603789e-05,48.9433,44.3576,4.585700000000003
58,168,1127,0.25104758313658915,0.25100036805939935,4.721507718979945e-05,43.4482,36.3044,7.143799999999999
59,169,3664,0.371401342907869,0.37143640792829413,3.506502042510684e-05,43.9902,38.012,5.978200000000001
60,170,4276,0.5248002301832725,0.5248650418800724,6.481169679994903e-05,53.8527,44.6731,9.1796
61,173,2395,0.1810045754967874,0.18100256713371107,2.0083630763167992e-06,37.0451,33.2551,3.789999999999999
62,174,1554,0.4635336280355927,0.4633116247236158,0.00022200331197691492,50.6297,41.431,9.198700000000002
64,187,2435,0.7766980613288258,0.7766832031987564,1.4858130069406172e-05,61.678,53.5596,8.118399999999994
65,188,1174,0.39200201719861316,0.39186265354547817,0.000139363653134994,49.8826,39.363,10.519599999999997
66,189,953,0.3749479940566794,0.3748350663389449,0.00011292771773446786,46.0452,38.431,7.614200000000004
67,196,4887,0.38272040344335173,0.38246630673073234,0.0002540967126193894,48.1433,38.2317,9.911600000000007
68,198,1266,0.391188829875232,0.3911444566756192,4.437319961281272e-05,47.8722,38.8401,9.0321
69,200,177,0.7630049866401438,0.7637122275135486,0.0007072408734047908,57.3858,54.2565,3.1293000000000006
70,201,2198,0.34243155264732306,0.34251765688544317,8.610423812011048e-05,48.947,35.9832,12.963800000000006
71,203,5122,0.5735932672421229,0.5734080370202422,0.00018523022188066118,53.4889,44.0788,9.4101
72,205,4855,0.7239042961265758,0.7241861388445896,0.0002818427180137917,60.144,54.464,5.68
73,206,4009,0.1886116379639557,0.18865064718921795,3.9009225262259806e-05,35.0673,30.116,4.951300000000003
74,207,2434,0.4977447524760963,0.49781160964273374,6.685716663745733e-05,49.6873,47.0416,2.645699999999998
75,210,179,0.5956437378270026,0.5952016586586644,0.0004420791683382719,54.2199,45.4295,8.790400000000005
76,216,5122,0.5738816333868043,0.5734080370202422,0.00047359636656207904,51.3277,44.0788,7.248899999999999
77,221,5744,0.5002481202692179,0.4999226223519577,0.00032549791726022015,55.7871,44.8773,10.909800000000004
78,223,5912,0.2763309991610964,0.27633083786717055,1.6129392582664437e-07,43.76,32.4808,11.279199999999996
79,227,2763,0.8313259971056438,0.8308404623443763,0.0004855347612675587,68.2431,56.3397,11.903399999999998
80,228,81,0.709232877228798,0.7098877752412274,0.0006548980124293502,57.3387,51.5748,5.7639
81,233,41,0.653801440982943,0.6538341453496315,3.270436668845189e-05,59.4963,46.9235,12.5728
82,240,3505,0.5814724592713192,0.5812191939252992,0.00025326534601999295,51.9947,43.5995,8.395200000000003
83,246,3247,0.5141264422203268,0.5139952748174689,0.0001311674028579013,50.5564,47.8811,2.675299999999993
84,252,900,0.5401446436438319,0.540186899178291,4.225553445913466e-05,53.1714,49.0943,4.0771000000000015
85,255,4859,0.36204735847432895,0.36190825560033363,0.00013910287399532262,44.3016,39.3971,4.904499999999999
86,257,3323,0.1190075056154617,0.1190761056229249,6.860000746319872e-05,32.4631,25.9148,6.548299999999998
87,260,3599,0.48214770307395105,0.4820816936287529,6.600944519813412e-05,52.0061,40.0111,11.995000000000005
88,261,811,0.3504386932576198,0.3508259696305365,0.000387276372916745,44.6517,39.8629,4.788799999999995
89,264,3337,0.7031848823297454,0.7031725690991624,1.2313230583038681e-05,57.5657,49.4105,8.1552
90,267,5739,0.23911202319471844,0.23904098653296796,7.103666175048429e-05,43.7788,35.4471,8.331699999999998
91,268,4944,0.5791386422133153,0.5795025633444277,0.000363921131112388,53.2163,44.3343,8.881999999999998
92,270,4464,0.6909662668537959,0.6928972539161355,0.0019309870623396286,58.1147,46.2291,11.885599999999997
93,274,1702,0.9197872791186137,0.9163962342131008,0.0033910449055128966,68.4449,61.8424,6.602500000000006
94,279,2856,0.5225272575884418,0.5225737020427131,4.644445427137711e-05,50.931,45.5631,5.367899999999999
95,282,2423,0.2912425115926175,0.291385032130111,0.000142520537493529,44.1638,34.4245,9.7393
96,283,828,0.07773252401950116,0.07775246747273222,1.9943453231058283e-05,30.7554,24.396,6.359400000000001
97,285,490,0.20538335745091077,0.20535808395041033,2.5273500500438972e-05,41.0299,30.939,10.090899999999998
98,286,2736,0.4322895062894645,0.4323320934853371,4.2587195872578754e-05,49.4733,42.5165,6.956800000000001
99,288,4028,0.5604904082700256,0.5605566419123218,6.623364229618733e-05,52.2369,46.6305,5.606400000000001
100,289,3163,0.326951380318686,0.32687593467333853,7.544564534744946e-05,48.4373,37.0431,11.394199999999998
101,291,940,0.4110439843120447,0.41095744026774295,8.654404430175067e-05,48.0702,44.0133,4.056899999999999
102,298,4357,0.7574018218347788,0.757834199645219,0.00043237781044025425,62.1062,51.8507,10.255499999999998
103,300,411,0.2611314152451807,0.26108286731028335,4.854793489733611e-05,44.6286,32.4302,12.1984
104,304,404,0.5398346934945338,0.5397992533203737,3.544017416012846e-05,51.9004,43.4691,8.4313
105,307,4464,0.6919914518620449,0.6928972539161355,0.000905802054090632,56.9241,46.2291,10.695
106,309,2062,0.1593870944561076,0.15925024231714116,0.00013685213896644233,34.5403,28.3905,6.149800000000003
107,310,4464,0.6902928954371299,0.6928972539161355,0.0026043584790056418,58.1377,46.2291,11.9086
108,312,4972,0.48421428397806504,0.4842630508930698,4.876691500477204e-05,55.4933,40.6585,14.834800000000001
109,318,5418,0.40821402042119,0.4081675432200065,4.6477201183503514e-05,48.3801,37.9811,10.399000000000001
110,320,484,0.5172061611967843,0.517303914428999,9.775323221472565e-05,51.0032,44.4398,6.5634000000000015
111,324,5247,0.6447128668366663,0.6446739810218588,3.888581480748776e-05,56.3566,47.0489,9.307699999999997
113,330,4340,0.3396915220778788,0.3397162868526926,2.4764774813834656e-05,44.8952,36.9556,7.939600000000006
114,331,4627,0.7753885761127887,0.7760590345429746,0.0006704584301859828,61.0181,52.0014,9.0167
115,332,2743,0.15399286244682675,0.1539929610163404,9.85695136623832e-08,38.0186,24.6071,13.4115
116,333,177,0.7639369162462559,0.7637122275135486,0.00022468873270731216,61.9643,54.2565,7.707799999999999
117,334,5890,0.5533698612971628,0.5530740931634593,0.0002957681337034668,51.4371,42.8347,8.602400000000003
118,340,5818,0.34138713422653894,0.3414581803276675,7.104610112856902e-05,47.356,36.4741,10.881900000000002
119,343,2473,0.28645820548124284,0.28642327861457684,3.492686666600742e-05,44.6585,34.5748,10.083699999999993
120,344,4953,0.16043161045971419,0.16043967215626728,8.061696553096631e-06,38.0102,31.3043,6.705899999999996
121,345,1687,0.290292720938704,0.29013783230967877,0.00015488862902524048,45.5432,39.4633,6.079900000000002
122,349,2549,0.34527993143778474,0.34523469168904586,4.5239748738878927e-05,45.0251,39.5315,5.493600000000001
123,352,4337,0.30370833684866577,0.30361657533192055,9.17615167452257e-05,44.51,35.1385,9.371499999999997
124,354,3732,0.2761038493091941,0.27624632785554815,0.00014247854635401902,41.5876,33.4597,8.127900000000004
125,356,892,0.5455150648863871,0.5455184408712039,3.3759848168113393e-06,53.2619,47.2216,6.040299999999995
126,362,1490,0.39861317639427923,0.39862598168232327,1.2805288044037688e-05,45.7737,40.259,5.514699999999998
127,366,1911,0.8158745656132483,0.8175237393921148,0.0016491737788664196,64.0824,55.8265,8.255900000000004
128,367,3104,0.3791933063347445,0.37925257122372485,5.9264888980337105e-05,46.322,37.9175,8.404500000000006
129,370,4333,0.7169109040970267,0.7164963730739193,0.00041453102310740064,60.68,49.4994,11.180599999999998
130,371,820,0.24219635189685632,0.24219306416404368,3.287732812634614e-06,42.4268,32.4689,9.957900000000002
131,373,2310,0.11757787029889309,0.11763304165560028,5.5171356707184316e-05,34.1851,27.3918,6.793299999999999
132,375,4502,0.3701146356980069,0.3703248827164643,0.00021024701845739902,48.3419,41.9406,6.401299999999999
133,388,2633,0.49596808041805046,0.49582519287248633,0.00014288754556412986,48.022,41.6047,6.417299999999997
